Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
,Laki-laki,Perempuan
JAWA BARAT,41.24,35.26
Bogor,37.7,30.53
Sukabumi,22.72,16.65
Cianjur,17.83,14.52
Bandung,40.2,36.54
Garut,27.21,21.54
Tasikmalaya,22.47,21.9
Ciamis,24.21,22.89
Kuningan,27.91,22.59
Cirebon,33.56,26.33
Majalengka,25.26,18.49
Sumedang,32.18,29.09
Indramayu,30.69,23.61
Subang,33.54,25.29
Purwakarta,34.08,25.22
Karawang,36.99,30.18
Bekasi,54.36,47.03
Bandung Barat,29.94,20.59
Pangandaran,27.03,20.83
Kota Bogor,59.26,48.51
Kota Sukabumi,57.34,50.13
Kota Bandung,64.91,57.03
Kota Cirebon,63.54,53.58
Kota Bekasi,76.59,72.4
Kota Depok,73.66,66.54
Kota Cimahi,69.3,58.92
Kota Tasikmalaya,43.18,39.07
Kota Banjar,36.44,32.62
JAWA TENGAH,34.82,29.2
Cilacap,30.41,23.22
Banyumas,33.37,30.38
Purbalingga,25.36,21.43
Banjarnegara,21.99,16.63
Kebumen,30.16,24.42
Purworejo,40.59,32.97
Wonosobo,18.72,17.41
Magelang,32.15,25.39
Boyolali,38.26,28.5
Klaten,51.19,41.7
Sukoharjo,53.58,51.32
Wonogiri,30.96,26.48
Karanganyar,44.53,36.34
Sragen,35.87,29.24
Grobogan,25.12,17.17
Blora,27.63,25.12
Rembang,30.43,21.33
Pati,33.6,28.1
Kudus,45.22,40.76
Jepara,34.03,29.43
Demak,35.49,30.61
Semarang,35.49,30.14
Temanggung,24.62,22.73
Kendal,31.09,24.8
Batang,24.54,18.94
Pekalongan,26.83,22.31
Pemalang,21.49,16.28
Tegal,28.31,22.54
Brebes,23.55,18.23
Kota Magelang,64.3,62.91
Kota Surakarta,61.98,60.13
Kota Salatiga,66.1,60.57
Kota Semarang,66.7,56.72
Kota Pekalongan,41.97,39.6
Kota Tegal,53.07,48.97
D I YOGYAKARTA,52.12,47.62
Kulon Progo,46.54,41.58
Bantul,51.58,48.71
Gunung Kidul,25.98,22.1
Sleman,65.91,60.28
Kota Yogyakarta,68.84,67.29
JAWA TIMUR,37.81,31.96
Pacitan,26.54,24.02
Ponorogo,35.15,28.38
Trenggalek,27.64,24.3
Tulungagung,36.31,34.27
Blitar,29.88,27.52
Kediri,35.69,32.55
Malang,28.86,25.45
Lumajang,25.92,23.17
Jember,24.22,21.39
Banyuwangi,35.37,28.82
Bondowoso,29.12,20.37
Situbondo,33.53,22.94
Probolinggo,25.62,17.79
Pasuruan,32.37,23.03
Sidoarjo,61.53,57.02
Mojokerto,45.12,37.69
Jombang,41.77,33.3
Nganjuk,37.02,30.96
Madiun,34.24,27.8
Magetan,38.84,34.02
Ngawi,34.01,27.61
Bojonegoro,31.94,24.45
Tuban,29.21,24.12
Lamongan,38.34,30.66
Gresik,55.49,50.24
Bangkalan,21.4,15.05
Sampang,15.79,8.96
Pamekasan,35.1,23.56
Sumenep,26.28,17.88
Kota Kediri,63.71,57.24
Kota Blitar,61.13,59.21
Kota Malang,63.32,61.36
Kota Probolinggo,56.19,47.63
Kota Pasuruan,56.15,46.86
Kota Mojokerto,65.09,65.78
Kota Madiun,73.54,69.69
Kota Surabaya,60.91,55.52
Kota Batu,46.01,47.9
BANTEN,45.93,39.73
Pandeglang,22.14,17.01
Lebak,17.37,11.72
Tangerang,45.64,39.01
Serang,28.96,24.13
Kota Tangerang,66.33,56.81
Kota Cilegon,60.54,52.02
Kota Serang,36.27,32.24
Kota Tangerang Selatan,69.76,62.91
BALI,53.59,43.01
Jembrana,44.91,33.23
Tabanan,52.16,39.89
Badung,69.88,57.78
Gianyar,60.75,49.9
Klungkung,48.78,36.4
Bangli,32.51,26.85
Karangasem,26.7,19.14
Buleleng,34.34,23.14
Kota Denpasar,70.33,62.23
NUSA TENGGARA BARAT,36.87,29.8
Lombok Barat,30.51,22.17
